person_id;job_title;salary;start_date;end_date
1;iOS Developer;7000;2015-01-19;2016-12-08
2;Junior UX Designer;4000;2016-02-23;2016-12-08
3;Junior Backend Developer;3500;2014-03-14;2016-12-08
4;Junior Frontend Developer;3500;2015-04-15;2016-12-08
5;Senior Frontend Developer;8000;2016-09-08;2016-12-08
6;Junior Backend Developer;3500;2015-10-07;2016-12-08
7;Regular Backend Developer;5000;2016-12-06;2016-12-08
8;Regular Frontend Developer;5500;2013-10-17;2016-12-08
9;Regular Backend Developer;5000;2014-01-08;2016-12-08
10;Senior Frontend Developer;8000;2014-01-08;2016-12-08
11;Regular UX Designer;4500;2015-10-07;2016-12-08
12;Senior UX Designer;6000;2013-02-01;2016-12-08
13;Junior Frontend Developer;3500;2016-12-08;2016-12-08
14;Regular UI Designer;4500;2015-09-23;2016-12-08
15;Regular Frontend Developer;5500;2015-10-26;2016-12-08
16;Junior UI Designer;3500;2017-01-30;2016-12-08
17;Senior Backend Developer;7000;2015-02-13;2016-12-08
18;Junior Frontend Developer;3500;2017-02-02;2016-12-08
19;Senior Frontend Developer;8000;2015-05-18;2016-12-08
20;Senior UI Designer;7000;2014-06-19;2016-12-08
21;Junior Frontend Developer;3500;2017-01-30;2016-12-08
22;Regular Frontend Developer;5500;2016-04-18;2016-12-08
23;Senior Project Manager;9000;2015-06-24;2016-12-08
24;Regular Frontend Developer;5500;2016-08-03;2016-12-08
25;Senior Frontend Developer;8000;2016-05-09;2016-12-08
26;Junior Backend Developer;3500;2017-03-06;2016-12-08
27;Senior Frontend Developer;8000;2015-03-05;2016-12-08
28;Regular UX Designer;4500;2014-01-08;2016-12-08
29;Junior Project Manager;4500;2017-01-30;2016-12-08
30;Android Developer;7000;2016-07-18;2016-12-08
31;Senior Backend Developer;7000;2016-06-28;2016-12-08
32;Product Designer;7000;2015-05-27;2016-12-08
33;iOS Developer;7000;2015-04-06;2016-12-08
34;iOS Developer;7000;2013-10-07;2016-12-08
35;Regular UI Designer;4500;2016-10-05;2016-12-08
36;Junior Backend Developer;3500;2016-12-22;2016-12-08
37;Regular Frontend Developer;5500;2014-01-21;2016-12-08
38;Android Developer;7000;2015-03-02;2016-12-08
39;Regular Frontend Developer;5500;2016-04-25;2016-12-08
40;Junior Backend Developer;3500;2017-02-14;2016-12-08
41;Senior Frontend Developer;8000;2014-01-08;2016-12-08
42;Android Developer;7000;2016-04-19;2016-12-08
43;Regular Backend Developer;5000;2016-06-06;2016-12-08
44;Regular Backend Developer;5000;2016-04-11;2016-12-08
45;Regular Backend Developer;5000;2015-07-14;2016-12-08
46;Regular Backend Developer;5000;2016-08-22;2016-12-08
47;Senior Backend Developer;7000;2015-10-01;2016-12-08
48;Junior Backend Developer;3500;2016-09-07;2016-12-08
49;Senior Backend Developer;7000;2015-09-10;2016-12-08
